ID,競技,種目,順位,選手,チーム,記録
345,水球,男子,1,"ミラン・アレクシッチ,
ニコラ・デドビッチ,
フィリプ・フィリポビッチ,
ニコラ・ヤクシッチ,
ジョルジェ・ラジッチ,
ドゥシャン・マンディッチ,
ブラニスラフ・ミトロビッチ,
ステファン・ミトロビッチ,
ドゥシュコ・ピエトロビッチ,
ゴイコ・ピエトロビッチ,
アンドリア・プルライノビッチ,
サバ・ランデロビッチ,
ストラヒニャ・ラソビッチ",セルビア,
346,水球,男子,2,"スティリアノス・アルギロプロスカナカキス,
ヨルギオス・デルビシス,
イオアニス・フォントゥリス,
コンスタンティノス・ガラニディス,
コンスタンティノス・ゲニドゥニアス,
コンスタンティノス・グルベシス,
マリオス・カポトシス,
クリストドゥロス・コロンボス,
コンスタンティノス・ムリキス,
アレクサンドロス・パパナスタシウ,
ディミトリオス・スクンパキス,
アンゲロス・ブラコプロス,
エマヌイル・ゼルデバス",ギリシャ,
347,水球,男子,3,"ダニエル・アンギャル,
バラージュ・エルデイ,
バラージュ・ハライ,
ノルベルト・ホシュニャースキ,
シラルド・ヤンシク,
クリスティアン・マンヘルツ,
タマシュ・メゼイ,
ビクトル・ナジ,
マチャシュ・パストル,
マルトン・バモシュ,
デネシュ・バルガ,
ソマ・フォーゲル,
ゲルゴ・ザランキ",ハンガリー,
348,水球,男子,4,"ウナイ・アギレ,
アレハンドロ・ブストスサンチェス,
マルティン・ファメラ,
フランシスコ・フェルナンデスミランダ,
アルバロ・グラナドスオルテガ,
マルク・ラルンベゴンファウス,
ダニエル・ロペスピネド,
ブライ・マリャラクグエル,
アルベルト・ムナリスエガナ,
フェリペ・ペロネロチャ,
ベルナト・サナフハ,
ロヘル・タフルコンプテ,
ミゲル・デトロドミンゲス",スペイン,
349,水球,男子,5,"マルコ・ビヤチ,
ルカ・ブキッチ,
アンドロ・ブスリエ,
ロレン・ファトビッチ,
ハビエル・ガルチアガデア,
マロ・ヨコビッチ,
ルカ・ロンチャル,
マルコ・マチャン,
イバンドマゴイ・マルセリッチ,
ロブレ・ミロス,
パウロ・オブラドビッチ,
ヨシプ・ブルリッチ,
アンテ・ブキチェビッチ",クロアチア,
350,水球,男子,6,"アレックス・ボーウェン,
ルーカ・クピド,
ハネス・ドーベ,
ベン・ハロック,
ドルー・ホランド,
ジョニー・フーパー,
マックス・アービング,
アレックス・オーバート,
ジェシー・スミス,
ベン・スティーブンソン,
マーコ・バビク,
アレックス・ウォルフ,
ディラン・ウッドヘッド",アメリカ,
351,水球,男子,7,"マテオ・アイカルディ,
ミヒャエルアレクサンドレ・ボデガス,
ビンチェンツォ・ドルチェ,
マルコ・デルルンゴ,
フランチェスコ・ディフルビオ,
ゴンツァロ・エチェニケ,
ニッコロ・フィガリ,
ピエトロ・フィリョリ,
ステファノ・ルオンゴ,
ジャンマルコ・ニコシア,
ニコラス・プレシュッティ,
ビンチェンツォ・レンズトイオディチェ,
アレサンドロ・ベロット",イタリア,
352,水球,男子,8,"デュサン・バニチェビッチ,
ドラシュコ・ブルグリャン,
ウロス・クッコビッチ,
アレクサンダル・イボビッチ,
スラベン・カンディッチ,
デュサン・マトコビッチ,
ミロスラフ・ペルコビッチ,
マルコ・ペトコビッチ,
ブラド・ポパディッチ,
ブラダン・スパイッチ,
ペタル・テサノビッチ,
アレクサ・ウクロピナ,
ステファン・ビドビッチ",モンテネグロ,
353,水球,女子,1,"レイチェル・ファタル,
アリア・フィッシャー,
マケンジー・フィッシャー,
カリー・ギルクリスト,
ステファニー・ハララビディス,
ページ・ハウシルド,
アシュリー・ジョンソン,
アマンダ・ロンガン,
マデリン・ムセルマン,
ジェイミー・ノイシュル,
メリッサ・セードマン,
マーガレット・ステファンズ,
アリス・ウィリアムズ",アメリカ,
354,水球,女子,2,"マルタ・バク,
アンナ・エスパルイリャケト,
クララ・エスパルリャケト,
ラウラ・エステルラモス,
フディト・フォルカアリサ,
マイカ・ガルシアゴドイ,
イレネ・ゴンサレスロペス,
パウラ・レイトンアロネス,
ベア・オルティス,
ピリ・ペニャ,
エレナ・ルイス,
マリアエレナ・サンチェスゴンサレス,
ロセル・タラゴアイメリッチ",スペイン,
355,水球,女子,3,"エディナ・ガングル,
クリスティナ・ガルダ,
グレタ・グリシャッティ,
アニコー・ジェンヨッシー,
アンナ・イレシュ,
リタ・ケステリ,
ドラ・レイメテル,
アルダ・マギャリ,
レベッカ・パルケシュ,
ナターシャ・リバンシュカ,
ドロティア・シラギ,
ガブリエラ・スーチュ,
バンダ・バリ",ハンガリー,
356,水球,女子,4,"マリア・ベルスネバ,
アナスタシア・フェドトワ,
ナジェジダ・グリジナ,
エフゲニア・ゴロビナ,
エフゲニア・イワノワ,
エルビナ・カリモワ,
アンナ・カルナウフ,
エカテリーナ・プロコフィエワ,
アレナ・セルジャントワ,
アナスタシア・シマノビッチ,
エフゲニア・ソボレワ,
アンナ・ティモフェーワ,
ベロニカ・バヒトワ",ROC,
357,水球,女子,5,"アビー・アンドルーズ,
ゾイ・アランチーニ,
エル・アーミト,
ハナ・バックリング,
キーシ・ゴーファース,
ブロンテ・ハリガン,
マティルダエミリー・カーンズ,
ブロンウェン・ノックス,
レナ・ミハイロビッチ,
ガブリエラ・パーム,
エイミー・リッジ,
ローウィー・ウェブスター,
リー・ヤニツァス",オーストラリア,
358,水球,女子,6,"ダグマル・ヘニー,
キティ・ジュストラ,
マールトイエ・クーニング,
ヨアネ・クーンデルス,
イルセ・コールハース,
マウト・メーヘンス,
ビビアン・セベニフ,
ブリジッテ・スレーキング,
ノミ・ストンプホルスト,
デビー・ウィレムス,
イリス・ウォルベス,
シモネ・ファンデクラーツ,
サブリナ・ファンデルスルート",オランダ,
359,水球,女子,7,"ジョエル・ベカジ,
キラ・クリストマス,
アクセル・クレビエ,
モニカ・エゲンズ,
エリーゼ・ルメイラヴォワ,
ケリー・マッキー,
ヘーリー・マッケルビー,
キンドレド・ポール,
ガープリート・ソヒ,
クララ・ブルピシ,
クレール・ライト,
エマ・ライト,
シャエ・ラロシュ",カナダ,
360,水球,女子,8,"陳笑,
鄧沢文,
鹿訳文,
梅笑寒,
牛冠男,
彭林,
沈軼能,
王歓,
王歆艶,
熊敦瀚,
翟穎,
張丹奕,
張婧",中国,
361,マラソンスイミング,男子10km,1,フロリアン・ウェルブロック,ドイツ,1:48:33.7
362,マラソンスイミング,男子10km,2,クリシュトフ・ラショブスキ,ハンガリー,1:48:59.0
363,マラソンスイミング,男子10km,3,グレゴリオ・パルトリニエリ,イタリア,1:49:01.1
364,マラソンスイミング,男子10km,4,マタン・ロディティ,イスラエル,1:49:24.9
365,マラソンスイミング,男子10km,5,アタナシオス・キニガキス,ギリシャ,1:49:29.2
366,マラソンスイミング,男子10km,6,マルク　アントワヌ・オリビエ,フランス,1:50:23.0
367,マラソンスイミング,男子10km,7,フェリー・ウェールトマン,オランダ,1:51:30.8
368,マラソンスイミング,男子10km,8,マイケル・マグリン,南アフリカ,1:51:32.7
369,マラソンスイミング,女子10km,1,アナ・クニャ,ブラジル,1:59:30.8
370,マラソンスイミング,女子10km,2,シャロン・ファンラウエンダール,オランダ,1:59:31.7
371,マラソンスイミング,女子10km,3,カリーナ・リー,オーストラリア,1:59:32.5
372,マラソンスイミング,女子10km,4,アンナ・オラス,ハンガリー,1:59:34.8
373,マラソンスイミング,女子10km,5,レオニー・ベック,ドイツ,1:59:35.1
374,マラソンスイミング,女子10km,6,ヘーリー・アンダーソン,アメリカ,1:59:36.9
375,マラソンスイミング,女子10km,7,アシュリー・トゥウィチェル,アメリカ,1:59:37.9
376,マラソンスイミング,女子10km,8,辛鑫,中国,2:00:10.1
377,アーティスティックスイミング,女子デュエット,1,"スベトラーナ・コレスニチェンコ,
スベトラーナ・ロマシナ",ROC,195.9079
378,アーティスティックスイミング,女子デュエット,2,"黄雪辰,
孫文雁",中国,192.4499
379,アーティスティックスイミング,女子デュエット,3,"マルタ・フィエディナ,
アナスタシア・サフチュク",ウクライナ,189.4620
380,アーティスティックスイミング,女子デュエット,4,"乾友紀子,
吉田萌",日本,187.8166
381,アーティスティックスイミング,女子デュエット,5,"クラウディア・ホルツナー,
ジャクリーン・シモノー",カナダ,184.4798
382,アーティスティックスイミング,女子デュエット,6,"リンダ・チェルティ,
コスタンツァ・フェロ",イタリア,183.5702
383,アーティスティックスイミング,女子デュエット,7,"アンナマリア・アレクサンドリ,
エイリニ・アレクサンドリ",オーストリア,182.1773
384,アーティスティックスイミング,女子デュエット,8,"シャルロット・トレンブル,
ローラ・トレンブル",フランス,176.9807
385,アーティスティックスイミング,女子チーム,1,"ウラダ・チギレワ,
マリナ・ゴリアトキナ,
スベトラーナ・コレスニチェンコ,
ポリーナ・コマル,
アレクサンドラ・パツケビッチ,
スベトラーナ・ロマシナ,
アーラ・シシュキナ,
マリア・シュロチキナ",ROC,196.0979
386,アーティスティックスイミング,女子チーム,2,"馮雨,
咼俐,
黄雪辰,
梁馨枰,
孫文雁,
王芊懿,
肖雁寧,
尹成昕",中国,193.5310
387,アーティスティックスイミング,女子チーム,3,"マリナ・アレクシーワ,
ウラディスラワ・アレクシーワ,
マルタ・フィエディナ,
カテリナ・レズニク,
アナスタシア・サフチュク,
アリーナ・シンカレンコ,
クセニア・シドレンコ,
エリザベータ・ヤフノ",ウクライナ,190.3018
388,アーティスティックスイミング,女子チーム,4,"福村寿華,
乾友紀子,
木島萌香,
京極おきな,
塚本真由,
柳沢明希,
安永真白,
吉田萌",日本,188.3106
389,アーティスティックスイミング,女子チーム,5,"ベアトリーチェ・カレガリ,
ドミツィアナ・カバンナ,
リンダ・チェルティ,
フランチェスカ・デイッダ,
コスタンツァ・ディカミロ,
コスタンツァ・フェロ,
ジェンマ・ガリ,
エンリカ・ピッコリ",イタリア,184.1372
390,アーティスティックスイミング,女子チーム,6,"エミリー・アームストロング,
ロザリ・ボワソノー,
アンドレーアンヌ・コート,
カミーユ・フィオラディオン,
クラウディア・ホルツナー,
オードリー・ジョリー,
ハリー・プラット,
ジャクリーン・シモノー",カナダ,184.0325
391,アーティスティックスイミング,女子チーム,7,"オナ・カルボネルバリェステロ,
ベルタ・フェレラスサンス,
メリチェル・マスプハダス,
アリサ・オソヒナオソヒン,
パウラ・ラミレスイバニェス,
サラ・サルダニャロペス,
イリス・ティオカサス,
ブランカ・トレダノラウト",スペイン,181.9113
392,アーティスティックスイミング,女子チーム,8,"ライラ・モフセン,
ノラ・ナビラズミ,
ハナ・ヒエカル,
マリアム・アブダラ,
ファリダ・ラドワン,
ネハル・サーファン,
シャハド・アブダラ,
ジャイダ・シャラフ",エジプト,157.9147
